Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
hampton farm cajun peanuts,1/4 cup,170,0,14,2,0,0,160,5,3,1,0,7,0,
hash browns,1 cup,70,0,0,0,0,0,20,18,2,0,0,1,280,
havarti cheese,1 ounce,110,0,10,7,0,35,210,0,0,0,0,6,0,
heinz cocktail sauce,1/4 cup,80,0,0,0,0,0,650,17,1,14,12,0,0,
honey,1 Tbsp,63.8,0,0,0,0,0,0.8,17.3,0,17.2,0,0.1,10.9,
honey roasted peanuts,1 oz,160,0,13,2,0,0,85,7,2,4,2,7,180,
hot and spicy chicken wing breaded - publix,1 wing,180,0,10.7,2.9,0,38.7,156.8,5.4,0.2,0,0,9.7,158,
hot and spicy chicken wing naked - publix,1 wing,85,0,6,1,0,40,250,0,0,0,0,10,158,
ice cream bar oreo good humor,1 bar,150,0,8,4,0,0,75,19,0,12,10,1,0,
jack's pepperoni pizza,1/3 pizza,340,0,15,7,0,35,700,35,2,4,0,16,170,
jasmine rice,1 cup,250,0,2.5,0,0,0,10,52,1,0,0,5,60,
jelly strawberry preserves,1 Tbsp,50,0,0,0,0,0,0,13,0,13,13,0,0,
jersey mike philly cheesesteak,1 regular,750,0,34,15,0.5,114,2060,64,3.2,9,0,46,172,
jones sausage links,1 link,80,70,8,2.5,0,15,130,0,0,0,0,2,0,
jones sausage patty,1 patty,120,110,12,4,0,25,220,0,0,0,0,4,0,
jumbo shell macaroni,6 pieces,200,0,1,0,0,0,0,42,2,2,0,7,94,
ken's creamy caesar salad dressing,2 Tbsp,170,170,19,3,0,15,260,1,0,1,1,1,0,
ken's raspberry walnut vinaigrette,2 tbsp,80,50,6,0.5,0,0,130,7,0,7,7,0,0,
ken's thousand island salad dressing,2 Tbsp,140,120,14,2,0,15,240,4,0,4,3,0,0,
ketchup,1 Tbsp,25,0,0,0,0,0,5,5,0,5,4,0,0,heinz no salt ketchup
large shell macaroni,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
lasagna macaroni,2 pieces,200,0,1,0,0,0,0,42,2,2,0,7,94,
lean cuisine cheese pizza,1 whole,360,0,7,2.5,0,10,600,55,2,7,2,20,210,
lean cuisine pepperoni pizza,1 whole,400,0,8,3,0,25,860,61,5,6,3,20,340,
lemon pepper chicken,3 oz,180,110,12,3.5,0,110,340,0,0,0,0,16,0,
lettuce,1 leaf,4,0,0,0,0,0,7,0.7,0.3,0.2,0,0.3,47,
light mayonnaise,1 Tbsp,50,0,5,0.5,0,5,105,1,0,0,0,0,0,
light salt,1/4 tsp,0,0,0,0,0,0,290,0,0,0,0,0,350,
loaded mashed potatoes,1/2 cup,110,0,2.5,1.5,0,0,500,19,1,2,1,3,290,
low sodium bacon,1 slice,40,31,7,1.25,0,10,80,0,0,0,0,2.5,0,
low sodium cream of mushroom soup,1 can,180,0,13,3.5,0,15,45,13,0,5,4,2,100,
low-fat milk,1 cup,100,0,2.5,1.5,0,10,110,13,0,13,0,8,505,
mac and cheese - gouda,1 cup,350,144,16,10,0,55,780,36,1,0,0,14,0,publix deli
macaroni salad,1 cup,322,1,11,1,0,10,244,49,3.7,4.7,0,7,257,
magic barbecue seasoning,1/4 tsp,0,0,0,0,0,0,95,0,0,0,0,0,0,
makoto ginger salad dressing,2 tbsp,80,60,7,1,0,0,370,2,0,1,0,1,,0
mandarin tangerine orange,1 medium,47,2.3,0.3,0,0,0,1.8,12,1.6,9.3,0,0.7,146,
marble rye bread,1 slice,91,0,0.9,0,0,0,225,18.2,1.2,0.6,0,3,55,thin slice
mashed potatoes,1/2 cup,125,0,0,0,0,0,30,19,1,2,0,3,311,
mayonnaise,1 Tbsp,100,0,11,1.5,0,10,85,0,0,0,0,0,1,
meatloaf,4 oz,337,212,43,9,0,126,110,23,2,6,0,21,524,
milk,1 cup,150,0,8,4.5,0,25,105,13,0,13,0,8,330,publix whole milk
montreal steak seasoning,1/4 tsp,0,0,0,0,0,0,180,0,0,0,0,0,0,
mozzarella provolone shredded cheese sargento,1/4 cup,90,60,7,4.5,0,20,190,1,0,0,0,6,30,sargento
mozzarella shredded cheese,1/4 cup,80,55,6,3,0,15,180,2,0,1,0,6,50,great value
muesli - country style,1/4 cup,140,0,3,0,0,0,0,23,4,5,0,4,195,
muesli - fruit and seed,1/4 cup,130,0,3.5,1,0,0,0,21,3,3,1,4,158,
mustard,1 Tsp,4,0,0.2,0,0,0,65,0.7,0.2,0.1,0,0.2,7.6,
no fat milk,1 cup,80,0,0,0,0,5,105,13,0,13,0,8,390,
oatmeal,1/2 cup,150,0,3,0.5,0,0,0,27,4,1,0,5,150,
oats and honey bar,1 bar,190,0,6,0.5,0,0,160,30,3,13,12,4,116,
olive oil - cooking,1 tbsp,120,0,14,2,0,0,0,0,0,0,0,0,0,
onion,1 cup,64,1.3,0,0,0,0,6.4,15,2.7,6.8,0,1.8,234,
onion,1 slice,6,0,0,0,0,0,0,1.42,0.2,0.6,0,0.13,20,
onion powder,1 tsp,8,0,0.1,0,0,0,1.8,2,0.2,1.3,0,0.3,27.7,
onion rings publix,4 oz,372,216,24,5,0,6.25,742,35,2.25,6,0,4,0,
orange juice,1 cup,120,0,0,0,0,0,0,28,0,20,0,2,435,
oregano,1 tsp,5.4,1.5,0.2,0,0,0,0.3,1.1,0.7,0.1,0,0.2,29.2,
oregano dried ground,1 tsp,4.8,0,0.1,0,0,0,0.5,1.2,0.8,0.1,0,0.2,23,
orzo,2 oz,210,10,1,0,0,0,0,42,2,2,0,7,0,
panko,1/4 cup,100,0,1,0,0,0,55,20,0,0,0,3,0,
parmesan cheese,1/4 cup,110,0,7,4.6,0,20,370,2,0,0,0,10,30,
pastrami lunch meat,2 oz,80,30,3,1,0,30,600,0,0,0,0,13,0,
peanut butter,2 Tbsp,180,0,15,3,0,0,120,8,2,4,2,7,190,
penne macaroni,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
pickle - claussen kosher spears,1 oz,5,0,0,0,0,0,280,1,0,0,0,0,0,
pork boston butt,3 oz,230,140,15,6,0,85,50,0,0,0,0,21,260,
pork chop,3.5 oz each,171,0,5,1,0,71,44,0,0,0,0,27,364,
pork tenderloin - publix,4 oz,120,0,2.5,1,0,75,60,0,0,0,0,23,447,
potato chips - lay's,15 chips,160,0,10,1.5,0,0,170,15,1,1,0,2,350,
potato chips - lay's barbeque,15 chips,150,0,9,1.5,0,0,150,16,1,2,1,2,330,
potato chips - lay's kettle cooked mesquite,15 chips,150,0,8,1,0,0,140,17,2,2,1,2,360,
potato chips - ruffles,15 chips,160,0,10,1.5,0,0,150,15,1,1,0,2,350,
potato chips - ruffles cheddar sour cream,15 chips,160,0,10,1.5,0,0,180,15,1,1,0,2,340,
potato salad southern style - publix,3/4 cup,300,0,22,4,0,50,390,21,2,3,3,3,350,
publix caesar salad kit,2 1/2 cup (1/3 bag),150,110,12,1,0,10,230,7,2,1,0,3,210,
publix chef salad,1 container,780,549,61,16,0,280,1560,20,5,9,0,42,0,with bacon ranch dressing
publix chicken tenders,1 each,179,93,10.3,2.6,2,32,447,10.8,1.4,0,0,11,163,
publix cocktail shrimp,3 oz (9 pieces),60,0,0.5,0,0,125,630,0,0,0,0,11,80,
publix crab cake,1 cake,140,60,7,1.5,0,40,450,10,1,2,0,10,0,
publix heart's of romaine salad lettuce,2 1/2 cup (1/3 bag),15,0,0,0,0,0,5,3,2,1,0,1,160,
publix italian salad lettuce,2 1/2 cup (1/3 bag),15,0,0,0,0,0,10,3,2,1,0,1,210,
publix remoulade sauce,2 Tbsp,150,140,15,2.5,0,15,230,4,1,3,3,1,0,
publix spring mix salad lettuce,5 0z (1/2 bag),35,0,0,0,0,0,85,5,2,1,0,3,160,
publix sweet butter salad lettuce,2 1/2 cup (1/2 bag),15,0,0,0,0,0,20,2,1,1,0,1,160,
publix turkey and ham sub,1/2 sub,445,189,21,6,0,25,935,48,2,4,0,13,0,
publix turkey and ham sub,3/4 sub,667,283,32,9,0,38,1402,72,3,6,0,20,0,
publix turkey and ham sub,whole sub,890,378,42,12,0,50,1870,96,4,8,0,26,0,
